date,athlete_id,exercise,weight_kg,sets,reps,rpe
2023-01-02,ATH004,Burpees,20.0,5,5,8.0
2023-01-02,ATH004,Deadlift,155.0,3,3,8.0
2023-01-02,ATH004,Assault Bike,382.5,1,1170,8.0
2023-01-03,ATH004,Squat,105.0,4,6,7.0
2023-01-03,ATH004,Box Jump,37.5,4,5,7.5
2023-01-03,ATH004,Handstand Push-up,5.0,4,20,8.0
2023-01-03,ATH004,Rowing Machine,275.0,1,1344,7.0
2023-01-03,ATH008,Squat,125.0,4,5,7.0
2023-01-03,ATH008,Bench Press,72.5,5,6,7.0
2023-01-03,ATH008,Leg Curl,45.0,4,10,7.0
2023-01-04,ATH004,Squat,102.5,4,6,7.5
2023-01-04,ATH004,Handstand Push-up,5.0,5,20,7.0
2023-01-04,ATH004,Assault Bike,370.0,1,573,8.0
2023-01-04,ATH004,Rowing Machine,330.0,1,1891,8.5
2023-01-05,ATH002,Snatch,37.5,5,2,7.0
2023-01-05,ATH002,Face Pull,25.0,4,10,6.5
2023-01-05,ATH002,Romanian Deadlift,80.0,4,12,7.0
2023-01-05,ATH002,Pull-up,20.0,3,8,7.5
2023-01-05,ATH005,Log Press,60.0,4,8,9.0
2023-01-05,ATH005,Stone Load,65.0,4,10,8.5
2023-01-05,ATH005,Overhead Press,47.5,3,12,9.0
2023-01-05,ATH005,Front Squat,65.0,3,12,8.5
2023-01-05,ATH005,Barbell Row,52.5,3,15,8.5
2023-01-05,ATH008,Squat,135.0,4,5,7.5
2023-01-05,ATH008,Lateral Raise,15.0,3,15,7.0
2023-01-05,ATH008,Calf Raise,40.0,4,12,6.0
2023-01-06,ATH002,Front Squat,80.0,3,10,6.5
2023-01-06,ATH002,Clean & Jerk,62.5,3,2,7.5
2023-01-06,ATH002,Overhead Press,32.5,4,10,7.5
2023-01-06,ATH002,Face Pull,22.5,4,10,7.0
2023-01-06,ATH008,Bench Press,82.5,3,6,6.0
2023-01-06,ATH008,Calf Raise,55.0,3,15,7.5
2023-01-07,ATH001,Deadlift,230.0,3,8,8.5
2023-01-07,ATH001,Tricep Extension,37.5,4,8,8.0
2023-01-07,ATH001,Bicep Curl,25.0,4,10,9.0
2023-01-07,ATH001,Dumbbell Press,60.0,3,10,9.5
2023-01-07,ATH002,Snatch,40.0,4,2,6.5
2023-01-07,ATH002,Front Squat,100.0,3,15,6.5
2023-01-07,ATH002,Romanian Deadlift,105.0,4,10,6.0
2023-01-07,ATH008,Bench Press,97.5,4,6,7.0
2023-01-07,ATH008,Deadlift,115.0,4,5,8.0
2023-01-07,ATH008,Leg Curl,37.5,4,12,6.5
2023-01-08,ATH004,Deadlift,127.5,5,3,6.5
2023-01-08,ATH004,Burpees,20.0,3,20,8.0
2023-01-08,ATH004,Pull-up,12.5,3,15,7.0
2023-01-08,ATH004,Assault Bike,342.5,1,1902,7.5
2023-01-08,ATH008,Bench Press,90.0,5,8,7.0
2023-01-08,ATH008,Bicep Curl,22.5,4,10,6.0
2023-01-08,ATH008,Lateral Raise,22.5,4,10,7.5
2023-01-08,ATH008,Calf Raise,45.0,3,12,7.5
2023-01-08,ATH009,Box Jump,35.0,5,10,8.5
2023-01-08,ATH009,Burpees,17.5,3,15,6.5
2023-01-08,ATH009,Muscle Up,12.5,5,10,7.5
2023-01-09,ATH002,Clean & Jerk,40.0,5,1,6.0
2023-01-09,ATH002,Snatch,50.0,4,2,7.5
2023-01-09,ATH002,Face Pull,35.0,4,8,8.0
2023-01-09,ATH006,Squat,252.5,4,6,8.5
2023-01-09,ATH006,Bicep Curl,47.5,4,15,9.0
2023-01-09,ATH006,Barbell Row,150.0,3,8,9.0
2023-01-09,ATH007,Clean & Jerk,35.0,3,1,7.0
