date,athlete_id,exercise,weight_kg,sets,reps,rpe
2024-01-01,1,Bench Press,60,3,10,7
2024-01-01,1,Squat,80,3,8,8
2024-01-03,1,Deadlift,100,3,5,9
2024-01-05,1,Bench Press,62.5,3,10,7
2024-01-05,1,Squat,82.5,3,8,8
2024-01-07,1,Deadlift,102.5,3,5,9
2024-01-08,2,Bench Press,50,3,10,6
2024-01-08,2,Squat,70,3,8,7
2024-01-10,2,Deadlift,90,3,5,8
2024-01-12,2,Bench Press,52.5,3,10,6
2024-01-12,2,Squat,72.5,3,8,7
2024-01-14,2,Deadlift,92.5,3,5,8
2024-01-15,1,Bench Press,65,3,10,8
2024-01-15,1,Squat,85,3,8,9
2024-01-17,1,Deadlift,105,3,5,9
2024-01-19,1,Bench Press,67.5,3,10,8
2024-01-19,1,Squat,87.5,3,8,9
2024-01-21,1,Deadlift,107.5,3,5,9
2024-01-22,2,Bench Press,55,3,10,7
2024-01-22,2,Squat,75,3,8,8
2024-01-24,2,Deadlift,95,3,5,8
2024-01-26,2,Bench Press,57.5,3,10,7
2024-01-26,2,Squat,77.5,3,8,8
2024-01-28,2,Deadlift,97.5,3,5,8
2024-01-29,1,Bench Press,70,3,10,9
2024-01-29,1,Squat,90,3,8,9
2024-01-31,1,Deadlift,110,3,5,9
