date,athlete_id,exercise,weight_kg,sets,reps,rpe
2024-01-02,7,Squat,115.0,5,8,8
2024-01-02,7,Pull-up,15.0,5,5,6
2024-01-02,7,Deadlift,145.0,3,10,7
2024-01-03,7,Squat,120.0,5,5,7
2024-01-03,7,Bench Press,75.0,4,8,8
2024-01-03,7,Deadlift,152.5,3,8,9
2024-01-04,7,Deadlift,147.5,3,10,9
2024-01-04,7,Bench Press,72.5,5,10,9
2024-01-05,1,Bench Press,42.5,4,10,6
2024-01-05,2,Bench Press,52.5,4,10,7
2024-01-05,2,Overhead Press,35.0,5,10,9
2024-01-05,2,Deadlift,102.5,4,8,9
2024-01-05,1,Deadlift,90.0,3,10,6
2024-01-06,7,Bench Press,72.5,3,5,8
2024-01-06,7,Squat,115.0,5,8,8
2024-01-06,7,Deadlift,137.5,4,6,10
2024-01-07,3,Pull-up,5.0,3,8,6
2024-01-07,3,Overhead Press,37.5,4,8,7
2024-01-07,3,Bench Press,57.5,4,6,8
2024-01-07,1,Pull-up,2.5,3,5,7
2024-01-07,5,Bench Press,67.5,3,6,6
2024-01-07,5,Deadlift,137.5,3,6,8
2024-01-07,1,Bench Press,45.0,4,5,7
2024-01-08,5,Squat,102.5,4,10,7
2024-01-08,5,Deadlift,135.0,4,10,7
2024-01-08,6,Pull-up,12.5,3,10,6
2024-01-08,6,Squat,107.5,3,6,8
2024-01-08,3,Overhead Press,37.5,5,6,9
2024-01-08,3,Deadlift,105.0,3,5,6
2024-01-08,3,Pull-up,5.0,3,10,7
2024-01-08,5,Bench Press,62.5,3,10,6
2024-01-09,3,Pull-up,5.0,5,10,6
2024-01-09,7,Squat,125.0,5,10,8
2024-01-09,7,Overhead Press,52.5,3,6,6
2024-01-09,2,Pull-up,5.0,3,8,8
2024-01-09,2,Deadlift,97.5,3,8,9
2024-01-09,2,Bench Press,50.0,4,6,7
2024-01-09,3,Squat,80.0,5,6,6
2024-01-09,3,Bench Press,57.5,5,8,9
2024-01-10,6,Bench Press,70.0,3,5,7
2024-01-10,2,Pull-up,5.0,3,5,7
2024-01-10,2,Squat,72.5,4,5,9
2024-01-10,2,Overhead Press,35.0,4,10,9
2024-01-10,1,Deadlift,90.0,4,6,9
2024-01-10,1,Pull-up,2.5,5,6,8
2024-01-10,6,Squat,107.5,3,5,9
2024-01-10,6,Deadlift,145.0,4,10,6
2024-01-10,4,Pull-up,7.5,5,5,9
2024-01-10,4,Squat,85.0,4,10,9
2024-01-10,1,Bench Press,42.5,4,10,7
2024-01-10,3,Bench Press,52.5,4,8,8
2024-01-10,3,Deadlift,110.0,3,6,9
2024-01-11,2,Bench Press,50.0,4,5,8
2024-01-11,6,Squat,92.5,5,5,9
2024-01-11,6,Bench Press,72.5,3,5,8
2024-01-11,6,Overhead Press,50.0,5,10,9
2024-01-11,2,Deadlift,90.0,5,10,10
2024-01-11,1,Overhead Press,32.5,5,8,6
2024-01-11,5,Pull-up,10.0,4,10,9
2024-01-11,2,Pull-up,5.0,4,6,8
2024-01-11,7,Squat,115.0,3,5,9
2024-01-11,7,Overhead Press,55.0,5,8,8
2024-01-11,7,Pull-up,15.0,3,10,6
2024-01-11,1,Deadlift,92.5,3,10,7
2024-01-11,4,Bench Press,60.0,4,10,9
2024-01-11,4,Pull-up,7.5,4,10,9
2024-01-11,4,Squat,87.5,3,6,7
2024-01-11,1,Bench Press,42.5,5,6,7
2024-01-11,5,Squat,97.5,4,6,6
2024-01-12,3,Bench Press,55.0,4,6,8
2024-01-12,7,Deadlift,142.5,3,6,8
2024-01-12,3,Deadlift,107.5,3,6,9
2024-01-12,7,Pull-up,12.5,5,6,10
2024-01-12,7,Squat,117.5,4,10,9
2024-01-12,3,Pull-up,7.5,3,10,7
2024-01-13,3,Bench Press,52.5,3,6,10
2024-01-13,3,Squat,87.5,3,8,7
2024-01-13,3,Pull-up,5.0,4,10,8
2024-01-13,1,Pull-up,2.5,3,8,7
2024-01-13,7,Pull-up,15.0,3,8,7
2024-01-13,1,Bench Press,47.5,5,10,7
2024-01-13,4,Pull-up,7.5,5,10,10
2024-01-13,1,Deadlift,90.0,3,5,9
2024-01-13,4,Bench Press,57.5,4,5,8
2024-01-13,7,Deadlift,157.5,4,10,9
2024-01-13,5,Deadlift,132.5,4,6,6
2024-01-13,5,Squat,97.5,3,6,9
2024-01-13,5,Bench Press,67.5,3,5,9
2024-01-13,7,Squat,120.0,4,8,9
2024-01-14,2,Deadlift,97.5,5,5,6
2024-01-14,2,Bench Press,52.5,4,5,8
2024-01-14,2,Pull-up,5.0,5,8,9
2024-01-14,6,Deadlift,140.0,4,6,7
2024-01-14,5,Squat,105.0,3,10,6
2024-01-14,5,Bench Press,67.5,4,8,7
2024-01-14,6,Overhead Press,47.5,5,8,8
2024-01-15,5,Deadlift,127.5,5,6,6
2024-01-15,2,Squat,77.5,5,5,9
2024-01-15,2,Deadlift,100.0,4,6,8
2024-01-15,1,Deadlift,85.0,4,6,9
2024-01-15,1,Bench Press,47.5,3,6,8
2024-01-15,2,Overhead Press,37.5,5,5,7
2024-01-15,4,Bench Press,60.0,4,5,6
2024-01-15,4,Overhead Press,40.0,5,10,8
2024-01-15,5,Pull-up,10.0,5,6,9
2024-01-16,2,Squat,82.5,5,10,7
2024-01-16,3,Overhead Press,40.0,5,10,6
2024-01-16,2,Bench Press,50.0,3,8,9
2024-01-16,3,Squat,82.5,3,5,8
2024-01-16,2,Pull-up,5.0,5,8,9
2024-01-16,3,Pull-up,5.0,4,6,6
2024-01-17,7,Bench Press,82.5,5,8,9
2024-01-17,7,Overhead Press,57.5,3,10,7
2024-01-18,4,Overhead Press,45.0,3,8,6
2024-01-18,4,Bench Press,60.0,4,8,7
2024-01-18,1,Bench Press,42.5,4,5,9
2024-01-18,1,Pull-up,2.5,4,6,6
2024-01-18,2,Deadlift,107.5,4,10,9
2024-01-18,2,Pull-up,5.0,4,8,9
2024-01-18,5,Squat,100.0,5,6,7
2024-01-18,7,Bench Press,82.5,5,8,6
2024-01-18,7,Squat,115.0,5,10,9
2024-01-18,7,Pull-up,15.0,3,10,8
