athlete_id,exercise,date,weight_kg,sets,reps,rpe
ATH041,Squat,2024-01-01,72.0,4,8,7.0
ATH041,Squat,2024-01-03,74.0,4,8,7.5
ATH041,Squat,2024-01-08,76.0,4,8,8.0
ATH041,Deadlift,2024-01-01,112.0,3,5,8.0
ATH041,Deadlift,2024-01-03,114.0,3,5,8.5
ATH041,Deadlift,2024-01-08,116.0,3,5,9.0
ATH041,Bench Press,2024-01-01,52.0,3,10,7.0
ATH041,Bench Press,2024-01-03,54.0,3,10,7.5
ATH041,Bench Press,2024-01-08,56.0,3,10,8.0
ATH041,Pull-ups,2024-01-01,0.0,3,10,6.0
ATH041,Pull-ups,2024-01-03,2.0,3,8,7.0
ATH041,Pull-ups,2024-01-08,4.0,3,8,8.0
ATH041,Overhead Press,2024-01-01,32.0,3,8,7.0
ATH041,Overhead Press,2024-01-03,34.0,3,8,7.5
ATH041,Overhead Press,2024-01-08,36.0,3,8,8.0
ATH041,Log Press,2024-01-05,39.0,3,6,8.0
ATH041,Log Press,2024-01-10,41.0,3,6,8.5
ATH041,Yoke Walk,2024-01-05,180.0,3,20,7.5
ATH041,Yoke Walk,2024-01-10,185.0,3,20,8.0
ATH041,Stone Loading,2024-01-07,89.0,3,5,8.5
ATH041,Stone Loading,2024-01-12,94.0,3,5,9.0
ATH042,Squat,2024-01-02,56.0,3,10,6.0
ATH042,Squat,2024-01-04,58.0,3,10,6.5
ATH042,Squat,2024-01-09,60.0,3,10,7.0
ATH042,Deadlift,2024-01-02,86.0,3,5,7.0
ATH042,Deadlift,2024-01-04,88.0,3,5,7.5
ATH042,Deadlift,2024-01-09,90.0,3,5,8.0
ATH042,Bench Press,2024-01-02,40.0,3,12,6.0
ATH042,Bench Press,2024-01-04,42.0,3,12,6.5
ATH042,Bench Press,2024-01-09,44.0,3,12,7.0
ATH042,Pull-ups,2024-01-02,0.0,3,8,5.0
ATH042,Pull-ups,2024-01-04,0.5,3,8,6.0
ATH042,Pull-ups,2024-01-09,1.0,3,8,7.0
ATH042,Overhead Press,2024-01-02,22.0,3,10,6.0
ATH042,Overhead Press,2024-01-04,24.0,3,10,6.5
ATH042,Overhead Press,2024-01-09,26.0,3,10,7.0
ATH042,Log Press,2024-01-06,26.0,3,8,7.0
