date,athlete_id,exercise,weight_kg,sets,reps,rpe
2024-01-01,ATH001,Overhead Press,57.5,4,10,7
2024-01-01,ATH001,Pull-up,11.25,3,12,9
2024-01-01,ATH002,Bench Press,85.0,5,5,9
2024-01-01,ATH002,Barbell Row,87.5,3,12,10
2024-01-01,ATH002,Deadlift,150.0,5,8,9
2024-01-02,ATH002,Overhead Press,55.0,4,8,10
2024-01-02,ATH002,Pull-up,22.5,4,10,8
2024-01-02,ATH005,Squat,117.0,5,6,10
2024-01-02,ATH005,Bench Press,112.5,3,6,10
2024-01-02,ATH005,Pull-up,22.5,4,8,8
2024-01-03,ATH003,Bench Press,36.75,4,6,7
2024-01-03,ATH003,Squat,77.5,4,8,7
2024-01-03,ATH004,Overhead Press,42.5,3,10,8
2024-01-03,ATH004,Deadlift,137.5,4,8,9
2024-01-04,ATH001,Squat,125.0,3,5,9
2024-01-04,ATH001,Pull-up,22.5,3,12,8
2024-01-04,ATH001,Deadlift,110.0,4,5,9
2024-01-04,ATH004,Overhead Press,47.5,3,10,8
2024-01-04,ATH004,Barbell Row,63.0,4,12,8
2024-01-04,ATH004,Deadlift,145.0,5,6,8
2024-01-05,ATH003,Bench Press,52.5,4,8,8
2024-01-05,ATH003,Pull-up,4.5,3,8,8
2024-01-05,ATH003,Deadlift,60.0,3,5,7
2024-01-06,ATH001,Deadlift,137.5,3,6,7
2024-01-06,ATH001,Bench Press,62.5,5,6,9
2024-01-06,ATH002,Overhead Press,75.0,3,12,9
2024-01-06,ATH002,Deadlift,185.0,4,8,9
2024-01-06,ATH002,Squat,152.5,4,5,10
2024-01-06,ATH003,Pull-up,6.75,4,8,8
2024-01-06,ATH003,Overhead Press,40.0,3,8,7
2024-01-06,ATH003,Squat,70.0,3,5,8
2024-01-06,ATH004,Deadlift,155.0,4,5,7
2024-01-06,ATH004,Squat,115.0,4,5,8
2024-01-06,ATH005,Overhead Press,72.5,3,8,10
2024-01-06,ATH005,Barbell Row,87.5,4,8,9
2024-01-07,ATH001,Bench Press,77.5,5,5,7
2024-01-07,ATH001,Barbell Row,60.0,4,10,7
