athlete_id,exercise,date,weight_kg,sets,reps,rpe
ATH001,Deadlift,2025-10-01,99.3,5,5,8.7
ATH001,Pull-ups,2025-10-01,8.5,3,10,6.2
ATH001,Sandbag Carry,2025-10-01,82.1,4,10,8.9
ATH001,Atlas Stone Load,2025-10-03,68.5,4,4,7.6
ATH001,Bench Press,2025-10-03,40.8,3,6,6.1
ATH001,Romanian Deadlift,2025-10-03,74.7,3,12,8.7
ATH001,Atlas Stone Load,2025-10-05,66.7,3,5,9.0
ATH001,Deadlift,2025-10-05,110.0,5,4,8.7
ATH001,Front Squat,2025-10-05,60.3,4,12,8.3
ATH001,Farmer's Walk,2025-10-08,70.6,3,12,7.3
ATH001,Overhead Press,2025-10-08,35.0,5,6,7.4
ATH001,Romanian Deadlift,2025-10-08,82.1,4,6,7.9
ATH001,Bench Press,2025-10-10,50.5,4,6,6.6
ATH001,Log Press,2025-10-10,45.2,4,8,7.7
ATH001,Romanian Deadlift,2025-10-10,73.8,3,6,6.2
ATH001,Deadlift,2025-10-12,114.1,3,4,6.7
ATH001,Incline Bench Press,2025-10-12,35.3,3,10,7.4
ATH001,Yoke Walk,2025-10-12,159.7,4,12,7.5
ATH001,Bench Press,2025-10-15,67.3,4,5,8.9
ATH001,Incline Bench Press,2025-10-15,52.1,3,8,8.7
ATH001,Log Press,2025-10-15,37.5,4,5,7.8
ATH001,Atlas Stone Load,2025-10-17,67.4,4,4,8.2
ATH001,Barbell Row,2025-10-17,61.9,4,8,7.2
ATH001,Bench Press,2025-10-17,65.8,3,10,6.5
ATH001,Pull-ups,2025-10-19,4.5,3,12,7.5
ATH001,Squat,2025-10-19,81.7,4,3,6.8
ATH001,Yoke Walk,2025-10-19,140.0,3,18,8.6
ATH001,Pull-ups,2025-10-22,6.4,3,12,6.8
ATH001,Squat,2025-10-22,83.5,4,5,9.0
ATH001,Yoke Walk,2025-10-22,145.6,3,15,6.9
ATH001,Barbell Row,2025-10-24,46.7,4,10,8.2
ATH001,Farmer's Walk,2025-10-24,52.8,3,20,8.7
ATH001,Overhead Press,2025-10-24,28.8,3,5,8.0
ATH001,Deadlift,2025-10-26,110.4,3,3,7.3
ATH001,Incline Bench Press,2025-10-26,34.0,4,12,6.5
ATH001,Sandbag Carry,2025-10-26,95.2,4,30,8.9
ATH001,Farmer's Walk,2025-10-29,63.6,4,10,6.9
ATH001,Overhead Press,2025-10-29,38.6,4,6,8.3
ATH001,Pull-ups,2025-10-29,5.7,4,6,7.9
ATH001,Bench Press,2025-10-31,52.0,4,8,6.6
ATH001,Pull-ups,2025-10-31,1.5,4,8,7.3
ATH001,Yoke Walk,2025-10-31,165.2,3,30,6.8
ATH001,Barbell Row,2025-11-02,46.8,3,10,8.1
ATH001,Bench Press,2025-11-02,48.6,5,8,7.7
ATH001,Farmer's Walk,2025-11-02,70.4,3,12,8.3
ATH001,Deadlift,2025-11-05,118.8,3,6,6.6
ATH001,Farmer's Walk,2025-11-05,97.3,3,10,8.6
ATH001,Incline Bench Press,2025-11-05,46.5,4,12,6.4
ATH001,Deadlift,2025-11-07,127.2,4,3,8.7
ATH001,Incline Bench Press,2025-11-07,56.2,3,10,7.7
ATH001,Log Press,2025-11-07,46.9,4,3,9.0
ATH001,Deadlift,2025-11-09,127.5,3,4,8.5
ATH001,Farmer's Walk,2025-11-09,64.8,4,10,7.3
ATH001,Front Squat,2025-11-09,55.3,3,12,7.7
ATH001,Front Squat,2025-11-12,65.9,4,6,6.7
ATH001,Log Press,2025-11-12,37.6,4,8,5.5
ATH001,Squat,2025-11-12,58.0,4,3,5.5
ATH001,Deadlift,2025-11-14,89.6,3,3,6.5
ATH001,Pull-ups,2025-11-14,4.5,3,6,6.3
ATH001,Sandbag Carry,2025-11-14,49.7,4,18,7.6
ATH001,Incline Bench Press,2025-11-16,43.8,4,12,5.5
ATH001,Sandbag Carry,2025-11-16,65.6,4,25,6.0
ATH001,Squat,2025-11-16,81.2,3,6,7.2
ATH001,Farmer's Walk,2025-11-19,90.8,4,15,7.4
ATH001,Pull-ups,2025-11-19,8.7,3,10,6.9
ATH001,Squat,2025-11-19,76.2,4,3,7.1
ATH001,Deadlift,2025-11-21,121.7,5,6,8.3
ATH001,Farmer's Walk,2025-11-21,56.2,3,22,8.5
ATH001,Front Squat,2025-11-21,76.0,4,10,6.8
ATH001,Bench Press,2025-11-23,64.4,5,8,8.9
ATH001,Farmer's Walk,2025-11-23,73.7,4,26,7.0
ATH001,Pull-ups,2025-11-23,11.1,3,8,8.0
ATH001,Bench Press,2025-11-26,56.7,3,8,7.4
ATH001,Farmer's Walk,2025-11-26,56.0,3,25,8.3
ATH001,Pull-ups,2025-11-26,12.1,4,12,7.2
ATH001,Bench Press,2025-11-28,68.3,5,5,7.0
ATH001,Front Squat,2025-11-28,60.7,4,10,7.0
ATH001,Sandbag Carry,2025-11-28,75.8,3,15,8.0
ATH001,Bench Press,2025-11-30,52.5,4,10,7.4
