date,athlete_id,exercise,weight_kg,sets,reps,rpe
2024-01-01,ATH001,Overhead Press,57.5,4,10,7
2024-01-01,ATH001,Pull-up,11.25,3,12,9
2024-01-01,ATH002,Bench Press,85.0,5,5,9
2024-01-01,ATH002,Barbell Row,87.5,3,12,10
2024-01-01,ATH002,Deadlift,150.0,5,8,9
2024-01-02,ATH002,Overhead Press,55.0,4,8,10
2024-01-02,ATH002,Pull-up,22.5,4,10,8
2024-01-02,ATH005,Squat,117.0,5,6,10
2024-01-02,ATH005,Bench Press,112.5,3,6,10
2024-01-02,ATH005,Deadlift,195.0,4,5,9
2024-01-03,ATH003,Squat,60.0,4,8,7
2024-01-03,ATH003,Bench Press,45.0,4,8,6
2024-01-03,ATH003,Overhead Press,30.0,3,10,7
2024-01-04,ATH004,Deadlift,100.0,3,5,8
2024-01-04,ATH004,Bench Press,70.0,4,8,7
2024-01-04,ATH004,Squat,90.0,4,8,8
2024-01-05,ATH001,Squat,100.0,4,8,8
2024-01-05,ATH001,Bench Press,75.0,4,8,7
2024-01-05,ATH001,Deadlift,140.0,3,5,8
2024-01-06,ATH002,Squat,130.0,4,8,9
2024-01-06,ATH002,Bench Press,95.0,3,6,8
2024-01-06,ATH002,Overhead Press,60.0,4,8,9
2024-01-07,ATH003,Deadlift,80.0,4,5,7
2024-01-07,ATH003,Pull-up,5.0,3,8,6
2024-01-07,ATH003,Barbell Row,50.0,3,10,7
2024-01-08,ATH004,Overhead Press,45.0,3,8,7
2024-01-08,ATH004,Pull-up,15.0,3,10,8
2024-01-08,ATH004,Barbell Row,60.0,4,10,8
2024-01-09,ATH005,Overhead Press,70.0,4,8,9
2024-01-09,ATH005,Pull-up,35.0,3,8,9
2024-01-09,ATH005,Barbell Row,90.0,3,12,10
2024-01-10,ATH001,Overhead Press,62.5,4,8,8
2024-01-10,ATH001,Pull-up,15.0,3,10,8
2024-01-10,ATH001,Barbell Row,70.0,3,10,8
2024-01-11,ATH002,Squat,140.0,4,8,9
2024-01-11,ATH002,Bench Press,105.0,3,6,9
2024-01-11,ATH002,Deadlift,165.0,4,6,10
