date,athlete_id,exercise,weight_kg,sets,reps,rpe
2024-01-05,ATH002,Snatch,60.0,3,2,7.0
2024-01-05,ATH002,Romanian Deadlift,77.5,3,8,7.0
2024-01-05,ATH002,Overhead Press,37.5,4,10,7.0
2024-01-06,ATH002,Snatch,57.5,5,1,6.5
2024-01-06,ATH002,Overhead Press,47.5,3,10,7.5
2024-01-06,ATH002,Pull-up,22.5,3,8,7.0
2024-01-08,ATH001,Bench Press,142.5,4,3,9.0
2024-01-08,ATH001,Squat,155.0,5,6,8.0
2024-01-08,ATH001,Dumbbell Press,52.5,3,10,8.5
2024-01-09,ATH001,Squat,145.0,5,6,8.5
2024-01-09,ATH001,Lat Pulldown,80.0,4,10,8.0
2024-01-10,ATH002,Front Squat,75.0,3,8,7.0
2024-01-10,ATH002,Pull-up,10.0,3,10,6.0
2024-01-10,ATH002,Overhead Press,40.0,3,10,8.0
2024-01-11,ATH002,Snatch,35.0,5,1,6.5
2024-01-11,ATH002,Front Squat,67.5,3,10,8.0
2024-01-11,ATH002,Pull-up,12.5,4,15,7.5
2024-01-13,ATH002,Front Squat,57.5,3,12,8.0
2024-01-13,ATH002,Clean & Jerk,60.0,4,2,7.5
2024-01-13,ATH002,Romanian Deadlift,92.5,3,12,6.0
2024-01-16,ATH001,Bench Press,112.5,4,3,8.0
2024-01-16,ATH001,Lat Pulldown,107.5,3,15,9.0
2024-01-16,ATH002,Snatch,35.0,4,3,6.5
2024-01-16,ATH002,Clean & Jerk,57.5,4,3,6.5
2024-01-16,ATH002,Pull-up,12.5,4,15,6.5
2024-01-17,ATH002,Snatch,47.5,5,3,7.5
2024-01-17,ATH002,Romanian Deadlift,105.0,3,8,6.5
2024-01-17,ATH002,Overhead Press,32.5,3,10,8.0
2024-01-19,ATH002,Snatch,60.0,4,1,6.0
2024-01-19,ATH002,Romanian Deadlift,85.0,3,12,7.0
2024-01-19,ATH002,Pull-up,15.0,4,8,8.0
2024-01-20,ATH001,Squat,175.0,4,8,8.0
2024-01-20,ATH001,Dumbbell Press,57.5,4,12,9.0
2024-01-20,ATH002,Clean & Jerk,45.0,3,1,6.0
2024-01-20,ATH002,Front Squat,65.0,4,8,7.5
2024-01-20,ATH002,Pull-up,15.0,3,12,7.5
2024-01-21,ATH001,Bench Press,105.0,5,5,9.5
2024-01-21,ATH001,Deadlift,250.0,5,5,8.5
2024-01-21,ATH001,Barbell Row,77.5,4,8,9.5
2024-01-21,ATH001,Bicep Curl,45.0,4,10,9.5
2024-01-23,ATH002,Front Squat,77.5,3,10,7.0
2024-01-23,ATH002,Overhead Press,47.5,3,8,6.5
2024-01-25,ATH002,Front Squat,75.0,4,8,8.0
2024-01-25,ATH002,Overhead Press,47.5,3,15,7.5
2024-01-26,ATH001,Deadlift,227.25,4,8,10.5
2024-01-26,ATH001,Squat,192.5,3,3,8.5
2024-01-26,ATH001,Tricep Extension,42.5,3,8,8.0
2024-01-26,ATH001,Dumbbell Press,60.0,4,10,9.0
2024-01-26,ATH002,Clean & Jerk,70.0,5,1,7.5
2024-01-26,ATH002,Snatch,47.5,5,1,8.0
2024-01-26,ATH002,Romanian Deadlift,115.0,3,15,6.5
2024-01-26,ATH002,Pull-up,27.5,3,8,7.5
2024-01-30,ATH001,Deadlift,265.0,4,8,9.0
2024-01-30,ATH001,Squat,160.0,5,5,8.5
2024-01-30,ATH001,Barbell Row,127.5,3,10,9.5
2024-01-30,ATH001,Bicep Curl,52.5,3,10,8.5
2024-01-30,ATH002,Clean & Jerk,75.0,4,3,6.5
2024-01-30,ATH002,Romanian Deadlift,82.5,4,10,7.0
2024-01-31,ATH002,Snatch,45.0,4,1,6.5
2024-01-31,ATH002,Overhead Press,45.0,3,8,7.0
2024-01-31,ATH002,Pull-up,20.0,4,12,7.0
2024-02-01,ATH001,Deadlift,230.0,5,6,8.0
2024-02-01,ATH001,Barbell Row,87.5,4,12,9.0
2024-02-01,ATH002,Front Squat,62.5,4,10,6.5
2024-02-01,ATH002,Romanian Deadlift,97.5,4,10,7.5
2024-02-01,ATH002,Pull-up,25.0,3,12,7.5
2024-02-03,ATH001,Deadlift,242.5,4,5,8.5
2024-02-03,ATH001,Squat,207.5,3,8,8.5
2024-02-03,ATH001,Lat Pulldown,80.0,3,15,9.0
2024-02-03,ATH001,Dumbbell Press,65.0,3,8,8.5
2024-02-03,ATH002,Snatch,40.0,5,3,7.5
2024-02-03,ATH002,Pull-up,12.5,3,15,7.5
2024-02-04,ATH001,Squat,228.375,4,5,9.0
2024-02-04,ATH001,Dumbbell Press,57.5,3,10,10.0
2024-02-04,ATH002,Clean & Jerk,75.0,4,2,8.0
2024-02-04,ATH002,Romanian Deadlift,76.5,4,12,8.5
2024-02-04,ATH002,Pull-up,12.5,3,8,8.5
2024-02-05,ATH002,Snatch,60.0,3,2,7.0
2024-02-05,ATH002,Clean & Jerk,57.5,5,2,8.0
2024-02-05,ATH002,Romanian Deadlift,120.0,4,8,8.5
2024-02-05,ATH002,Pull-up,17.5,3,8,6.5
2024-02-07,ATH001,Bench Press,115.0,4,5,8.5
2024-02-07,ATH001,Squat,137.5,3,3,8.0
2024-02-07,ATH001,Lat Pulldown,77.5,3,15,8.5
2024-02-07,ATH001,Bicep Curl,52.5,4,12,8.5
2024-02-08,ATH002,Clean & Jerk,55.0,5,1,8.5
2024-02-08,ATH002,Front Squat,80.0,4,15,8.5
2024-02-08,ATH002,Overhead Press,37.5,4,10,8.0
2024-02-09,ATH002,Front Squat,110.0,3,12,7.5
2024-02-09,ATH002,Clean & Jerk,67.5,3,3,8.0
2024-02-09,ATH002,Overhead Press,45.0,3,12,7.0
2024-02-10,ATH001,Deadlift,177.5,4,8,9.0
2024-02-10,ATH001,Bench Press,95.0,5,6,9.5
2024-02-10,ATH001,Tricep Extension,30.0,4,15,9.5
2024-02-10,ATH001,Lat Pulldown,100.0,4,15,8.5
2024-02-12,ATH002,Front Squat,57.5,3,15,7.5
2024-02-12,ATH002,Snatch,62.5,3,2,8.0
2024-02-12,ATH002,Overhead Press,65.0,4,12,7.5
2024-02-12,ATH002,Pull-up,25.0,3,10,8.0
2024-02-13,ATH002,Snatch,45.0,3,2,7.0
2024-02-13,ATH002,Clean & Jerk,62.5,3,1,8.5
2024-02-13,ATH002,Romanian Deadlift,107.5,3,12,6.5
2024-02-13,ATH002,Overhead Press,55.0,4,15,8.5
2024-02-14,ATH001,Squat,177.5,5,3,8.5
2024-02-14,ATH001,Bench Press,125.0,3,6,8.0
2024-02-14,ATH001,Lat Pulldown,105.0,4,12,8.0
2024-02-14,ATH002,Front Squat,112.5,3,12,8.5
2024-02-14,ATH002,Clean & Jerk,62.5,4,1,6.5
2024-02-14,ATH002,Overhead Press,47.5,3,8,7.5
2024-02-16,ATH001,Squat,215.0,3,3,9.0
2024-02-16,ATH001,Barbell Row,105.75,3,12,11.0
2024-02-16,ATH002,Clean & Jerk,65.0,4,1,8.5
2024-02-16,ATH002,Overhead Press,45.0,3,12,7.5
2024-02-17,ATH002,Front Squat,107.5,4,12,8.0
2024-02-17,ATH002,Romanian Deadlift,110.0,3,15,7.5
2024-02-18,ATH001,Deadlift,277.5,4,6,9.5
2024-02-18,ATH001,Squat,140.0,3,3,9.5
2024-02-18,ATH001,Dumbbell Press,62.5,3,15,9.0
2024-02-18,ATH001,Bicep Curl,37.5,4,12,10.0
2024-02-20,ATH002,Snatch,57.5,4,1,6.5
2024-02-20,ATH002,Romanian Deadlift,126.0,4,12,7.5
2024-02-23,ATH002,Clean & Jerk,75.0,4,3,8.5
2024-02-23,ATH002,Front Squat,85.0,3,10,7.0
2024-02-23,ATH002,Romanian Deadlift,90.0,4,12,8.0
2024-02-23,ATH002,Overhead Press,62.5,4,15,7.0
2024-02-24,ATH001,Bench Press,160.0,4,6,8.0
2024-02-24,ATH001,Lat Pulldown,95.0,4,10,9.5
2024-02-24,ATH002,Front Squat,95.0,4,10,7.5
2024-02-24,ATH002,Overhead Press,62.5,4,8,8.0
2024-02-24,ATH002,Romanian Deadlift,127.5,4,15,6.5
2024-02-25,ATH002,Front Squat,65.25,3,10,8.0
2024-02-25,ATH002,Snatch,72.5,4,2,8.0
2024-02-25,ATH002,Romanian Deadlift,122.5,3,15,8.5
2024-02-27,ATH002,Snatch,67.5,4,2,6.5
2024-02-27,ATH002,Romanian Deadlift,126.0,3,12,8.0
2024-02-27,ATH002,Pull-up,20.0,4,15,7.5
2024-02-28,ATH001,Squat,197.5,3,8,9.5
2024-02-28,ATH001,Deadlift,302.5,5,8,8.5
2024-02-28,ATH001,Barbell Row,135.0,3,15,8.5
2024-02-28,ATH001,Bicep Curl,50.0,3,12,9.5
2024-03-01,ATH001,Bench Press,162.5,5,6,8.0
2024-03-01,ATH001,Tricep Extension,42.5,3,8,9.0
2024-03-01,ATH001,Bicep Curl,45.0,3,8,8.0
2024-03-02,ATH002,Snatch,62.5,4,1,7.5
2024-03-02,ATH002,Pull-up,25.0,3,12,6.5
2024-03-02,ATH002,Overhead Press,37.5,4,8,7.0
2024-03-03,ATH002,Snatch,45.0,5,2,8.5
2024-03-03,ATH002,Romanian Deadlift,125.0,4,12,7.5
2024-03-03,ATH002,Overhead Press,50.0,4,10,7.5
2024-03-04,ATH001,Bench Press,153.0,4,3,10.0
2024-03-04,ATH001,Squat,230.0,5,3,9.5
2024-03-04,ATH001,Dumbbell Press,60.0,3,12,8.5
2024-03-04,ATH001,Tricep Extension,47.5,3,15,8.0
2024-03-05,ATH001,Bench Press,170.0,3,8,9.0
2024-03-05,ATH001,Dumbbell Press,78.75,3,8,10.5
2024-03-05,ATH001,Barbell Row,127.5,4,12,9.0
2024-03-05,ATH002,Front Squat,80.0,3,10,7.5
2024-03-05,ATH002,Snatch,76.125,4,3,9.0
2024-03-05,ATH002,Pull-up,17.5,4,12,8.0
2024-03-06,ATH002,Front Squat,85.0,3,8,6.5
2024-03-06,ATH002,Pull-up,12.5,3,15,8.0
2024-03-09,ATH001,Deadlift,222.5,4,5,8.5
2024-03-09,ATH001,Bench Press,105.0,3,3,9.0
2024-03-09,ATH001,Dumbbell Press,80.0,4,8,8.5
2024-03-09,ATH002,Clean & Jerk,57.5,5,2,8.0
2024-03-09,ATH002,Front Squat,72.5,3,10,7.0
2024-03-09,ATH002,Overhead Press,72.5,3,15,7.0
2024-03-09,ATH002,Pull-up,22.5,3,15,8.0
2024-03-10,ATH002,Clean & Jerk,85.0,3,1,7.0
2024-03-10,ATH002,Romanian Deadlift,95.0,4,15,7.5
2024-03-12,ATH002,Front Squat,115.0,4,8,7.5
2024-03-12,ATH002,Clean & Jerk,55.0,4,2,7.0
2024-03-12,ATH002,Pull-up,27.5,4,12,6.5
2024-03-12,ATH002,Overhead Press,77.5,3,12,7.0
2024-03-14,ATH001,Deadlift,267.5,5,3,10.0
2024-03-14,ATH001,Bench Press,132.5,4,8,8.5
2024-03-14,ATH001,Bicep Curl,62.5,4,8,9.5
2024-03-14,ATH002,Front Squat,120.0,4,8,8.0
2024-03-14,ATH002,Overhead Press,75.0,4,12,7.5
2024-03-14,ATH002,Pull-up,17.5,4,12,7.0
2024-03-15,ATH002,Clean & Jerk,57.5,5,2,7.5
2024-03-15,ATH002,Snatch,70.0,5,1,7.0
2024-03-15,ATH002,Pull-up,17.5,4,15,8.0
2024-03-16,ATH001,Bench Press,170.0,4,3,8.5
2024-03-16,ATH001,Deadlift,255.0,5,3,9.5
2024-03-16,ATH001,Lat Pulldown,105.0,3,8,9.0
2024-03-16,ATH001,Barbell Row,137.5,4,15,9.5
2024-03-19,ATH002,Clean & Jerk,77.5,4,2,7.5
2024-03-19,ATH002,Snatch,80.0,4,3,7.0
2024-03-19,ATH002,Pull-up,15.0,3,12,7.5
2024-03-19,ATH002,Overhead Press,67.5,4,12,8.0
2024-03-20,ATH001,Bench Press,152.5,5,8,8.5
2024-03-20,ATH001,Deadlift,272.5,3,6,10.0
2024-03-20,ATH001,Barbell Row,147.5,4,8,10.0
2024-03-20,ATH002,Clean & Jerk,62.5,5,1,7.0
2024-03-20,ATH002,Romanian Deadlift,112.5,3,15,6.5
2024-03-20,ATH002,Overhead Press,60.0,3,8,7.5
2024-03-21,ATH001,Bench Press,101.25,3,8,10.0
2024-03-21,ATH001,Deadlift,185.0,4,8,9.0
2024-03-21,ATH001,Barbell Row,122.5,3,10,8.5
2024-03-23,ATH001,Bench Press,135.0,4,8,8.0
2024-03-23,ATH001,Bicep Curl,40.0,4,10,10.0
2024-03-23,ATH002,Front Squat,122.5,4,15,8.5
2024-03-23,ATH002,Snatch,40.5,3,2,8.0
2024-03-23,ATH002,Romanian Deadlift,140.0,4,10,7.0
2024-03-24,ATH002,Front Squat,80.0,3,8,7.5
2024-03-24,ATH002,Snatch,80.0,4,3,7.0
2024-03-24,ATH002,Pull-up,27.5,3,10,8.0
2024-03-24,ATH002,Overhead Press,40.0,3,8,7.0
2024-03-25,ATH001,Bench Press,147.5,5,5,9.5
2024-03-25,ATH001,Barbell Row,155.0,4,10,8.5
2024-03-25,ATH002,Clean & Jerk,72.5,3,1,8.0
2024-03-25,ATH002,Front Squat,99.75,4,15,7.0
2024-03-25,ATH002,Romanian Deadlift,125.0,3,8,7.0
2024-03-25,ATH002,Pull-up,15.0,3,8,7.5
2024-03-26,ATH002,Clean & Jerk,57.5,5,2,7.5
2024-03-26,ATH002,Front Squat,90.0,3,12,8.5
2024-03-26,ATH002,Romanian Deadlift,147.5,3,12,7.5
2024-03-29,ATH001,Squat,200.0,5,8,10.0
2024-03-29,ATH001,Bicep Curl,40.0,4,15,8.5
2024-03-29,ATH001,Lat Pulldown,110.0,4,15,8.0
